instance,type,direction,signal,label,gpio_instance,gpio_pin,af,flat_bit
uart0,uart,out,uart0_tx,uart0.uart_tx,gpio0,0,1,1
uart0,uart,in,uart0_rx,uart0.uart_rx,gpio0,0,2,2
uart1,uart,out,uart1_tx,uart1.uart_tx,gpio0,0,3,3
uart1,uart,in,uart1_rx,uart1.uart_rx,gpio0,0,4,4
uart2,uart,out,uart2_tx,uart2.uart_tx,gpio0,0,5,5
uart2,uart,in,uart2_rx,uart2.uart_rx,gpio0,0,6,6
uart3,uart,out,uart3_tx,uart3.uart_tx,gpio0,0,7,7
uart3,uart,in,uart3_rx,uart3.uart_rx,gpio0,0,8,8
spi0,spi,out,spi0_spi_clk,spi0.spi_sck,gpio0,0,9,9
spi0,spi,out,spi0_mosi,spi0.spi_mosi,gpio0,0,10,10
spi0,spi,out,spi0_csn,spi0.spi_cs_n,gpio0,0,11,11
spi0,spi,in,spi0_miso,spi0.spi_miso,gpio0,0,12,12
spi1,spi,out,spi1_spi_clk,spi1.spi_sck,gpio0,0,13,13
spi1,spi,out,spi1_mosi,spi1.spi_mosi,gpio0,0,14,14
spi1,spi,out,spi1_csn,spi1.spi_cs_n,gpio0,0,15,15
spi1,spi,in,spi1_miso,spi1.spi_miso,gpio0,1,1,17
i2c0,i2c,out,i2c0_scl_o,i2c0.i2c_scl_o,gpio0,1,2,18
i2c0,i2c,out,i2c0_sda_o,i2c0.i2c_sda_o,gpio0,1,3,19
i2c0,i2c,in,i2c0_scl_i,i2c0.i2c_scl_i,gpio0,1,4,20
i2c0,i2c,in,i2c0_sda_i,i2c0.i2c_sda_i,gpio0,1,5,21
i2c1,i2c,out,i2c1_scl_o,i2c1.i2c_scl_o,gpio0,1,6,22
i2c1,i2c,out,i2c1_sda_o,i2c1.i2c_sda_o,gpio0,1,7,23
i2c1,i2c,in,i2c1_scl_i,i2c1.i2c_scl_i,gpio0,1,8,24
i2c1,i2c,in,i2c1_sda_i,i2c1.i2c_sda_i,gpio0,1,9,25
i2c2,i2c,out,i2c2_scl_o,i2c2.i2c_scl_o,gpio0,1,10,26
i2c2,i2c,out,i2c2_sda_o,i2c2.i2c_sda_o,gpio0,1,11,27
i2c2,i2c,in,i2c2_scl_i,i2c2.i2c_scl_i,gpio0,1,12,28
i2c2,i2c,in,i2c2_sda_i,i2c2.i2c_sda_i,gpio0,1,13,29
tmr0,tmr,in,tmr0_ti1,tmr0.tmr_ti1,gpio0,1,14,30
tmr0,tmr,in,tmr0_ti2,tmr0.tmr_ti2,gpio0,1,15,31
tmr0,tmr,in,tmr0_etr,tmr0.tmr_etr,gpio0,2,1,33
tmr0,tmr,in,tmr0_bkin,tmr0.tmr_bkin,gpio0,2,2,34
tmr0,tmr,out,tmr0_ch1,tmr0.tmr_ch1,gpio0,2,3,35
tmr0,tmr,out,tmr0_ch1n,tmr0.tmr_ch1n,gpio0,2,4,36
tmr0,tmr,out,tmr0_ch2,tmr0.tmr_ch2,gpio0,2,5,37
tmr0,tmr,out,tmr0_ch2n,tmr0.tmr_ch2n,gpio0,2,6,38
tmr0,tmr,out,tmr0_ch3,tmr0.tmr_ch3,gpio0,2,7,39
tmr0,tmr,out,tmr0_ch3n,tmr0.tmr_ch3n,gpio0,2,8,40
tmr0,tmr,out,tmr0_ch4,tmr0.tmr_ch4,gpio0,2,9,41
tmr0,tmr,out,tmr0_trgo,tmr0.tmr_trgo,gpio0,2,10,42
tmr1,tmr,in,tmr1_ti1,tmr1.tmr_ti1,gpio0,2,11,43
tmr1,tmr,in,tmr1_ti2,tmr1.tmr_ti2,gpio0,2,12,44
tmr1,tmr,in,tmr1_etr,tmr1.tmr_etr,gpio0,2,13,45
tmr1,tmr,in,tmr1_bkin,tmr1.tmr_bkin,gpio0,2,14,46
tmr1,tmr,out,tmr1_ch1,tmr1.tmr_ch1,gpio0,2,15,47
tmr1,tmr,out,tmr1_ch1n,tmr1.tmr_ch1n,gpio0,3,1,49
tmr1,tmr,out,tmr1_ch2,tmr1.tmr_ch2,gpio0,3,2,50
tmr1,tmr,out,tmr1_ch2n,tmr1.tmr_ch2n,gpio0,3,3,51
tmr1,tmr,out,tmr1_ch3,tmr1.tmr_ch3,gpio0,3,4,52
tmr1,tmr,out,tmr1_ch3n,tmr1.tmr_ch3n,gpio0,3,5,53
tmr1,tmr,out,tmr1_ch4,tmr1.tmr_ch4,gpio0,3,6,54
tmr1,tmr,out,tmr1_trgo,tmr1.tmr_trgo,gpio0,3,7,55
tmr2,tmr,in,tmr2_ti1,tmr2.tmr_ti1,gpio0,3,8,56
tmr2,tmr,in,tmr2_ti2,tmr2.tmr_ti2,gpio0,3,9,57
tmr2,tmr,in,tmr2_etr,tmr2.tmr_etr,gpio0,3,10,58
tmr2,tmr,in,tmr2_bkin,tmr2.tmr_bkin,gpio0,3,11,59
tmr2,tmr,out,tmr2_ch1,tmr2.tmr_ch1,gpio0,3,12,60
tmr2,tmr,out,tmr2_ch1n,tmr2.tmr_ch1n,gpio0,3,13,61
tmr2,tmr,out,tmr2_ch2,tmr2.tmr_ch2,gpio0,3,14,62
tmr2,tmr,out,tmr2_ch2n,tmr2.tmr_ch2n,gpio0,3,15,63
tmr2,tmr,out,tmr2_ch3,tmr2.tmr_ch3,gpio0,4,1,65
tmr2,tmr,out,tmr2_ch3n,tmr2.tmr_ch3n,gpio0,4,2,66
tmr2,tmr,out,tmr2_ch4,tmr2.tmr_ch4,gpio0,4,3,67
tmr2,tmr,out,tmr2_trgo,tmr2.tmr_trgo,gpio0,4,4,68
tmr3,tmr,in,tmr3_ti1,tmr3.tmr_ti1,gpio0,4,5,69
tmr3,tmr,in,tmr3_ti2,tmr3.tmr_ti2,gpio0,4,6,70
tmr3,tmr,in,tmr3_etr,tmr3.tmr_etr,gpio0,4,7,71
tmr3,tmr,in,tmr3_bkin,tmr3.tmr_bkin,gpio0,4,8,72
tmr3,tmr,out,tmr3_ch1,tmr3.tmr_ch1,gpio0,4,9,73
tmr3,tmr,out,tmr3_ch1n,tmr3.tmr_ch1n,gpio0,4,10,74
tmr3,tmr,out,tmr3_ch2,tmr3.tmr_ch2,gpio0,4,11,75
tmr3,tmr,out,tmr3_ch2n,tmr3.tmr_ch2n,gpio0,4,12,76
tmr3,tmr,out,tmr3_ch3,tmr3.tmr_ch3,gpio0,4,13,77
tmr3,tmr,out,tmr3_ch3n,tmr3.tmr_ch3n,gpio0,4,14,78
tmr3,tmr,out,tmr3_ch4,tmr3.tmr_ch4,gpio0,4,15,79
tmr3,tmr,out,tmr3_trgo,tmr3.tmr_trgo,gpio0,5,1,81
tmr4,tmr,in,tmr4_ti1,tmr4.tmr_ti1,gpio0,5,2,82
tmr4,tmr,in,tmr4_ti2,tmr4.tmr_ti2,gpio0,5,3,83
tmr4,tmr,in,tmr4_etr,tmr4.tmr_etr,gpio0,5,4,84
tmr4,tmr,in,tmr4_bkin,tmr4.tmr_bkin,gpio0,5,5,85
tmr4,tmr,out,tmr4_ch1,tmr4.tmr_ch1,gpio0,5,6,86
tmr4,tmr,out,tmr4_ch1n,tmr4.tmr_ch1n,gpio0,5,7,87
tmr4,tmr,out,tmr4_ch2,tmr4.tmr_ch2,gpio0,5,8,88
tmr4,tmr,out,tmr4_ch2n,tmr4.tmr_ch2n,gpio0,5,9,89
tmr4,tmr,out,tmr4_ch3,tmr4.tmr_ch3,gpio0,5,10,90
tmr4,tmr,out,tmr4_ch3n,tmr4.tmr_ch3n,gpio0,5,11,91
tmr4,tmr,out,tmr4_ch4,tmr4.tmr_ch4,gpio0,5,12,92
tmr4,tmr,out,tmr4_trgo,tmr4.tmr_trgo,gpio0,5,13,93
tmr5,tmr,in,tmr5_ti1,tmr5.tmr_ti1,gpio0,5,14,94
tmr5,tmr,in,tmr5_ti2,tmr5.tmr_ti2,gpio0,5,15,95
tmr5,tmr,in,tmr5_etr,tmr5.tmr_etr,gpio0,6,1,97
tmr5,tmr,in,tmr5_bkin,tmr5.tmr_bkin,gpio0,6,2,98
tmr5,tmr,out,tmr5_ch1,tmr5.tmr_ch1,gpio0,6,3,99
tmr5,tmr,out,tmr5_ch1n,tmr5.tmr_ch1n,gpio0,6,4,100
tmr5,tmr,out,tmr5_ch2,tmr5.tmr_ch2,gpio0,6,5,101
tmr5,tmr,out,tmr5_ch2n,tmr5.tmr_ch2n,gpio0,6,6,102
tmr5,tmr,out,tmr5_ch3,tmr5.tmr_ch3,gpio0,6,7,103
tmr5,tmr,out,tmr5_ch3n,tmr5.tmr_ch3n,gpio0,6,8,104
tmr5,tmr,out,tmr5_ch4,tmr5.tmr_ch4,gpio0,6,9,105
tmr5,tmr,out,tmr5_trgo,tmr5.tmr_trgo,gpio0,6,10,106
pwm0,pwm,in,pwm0_break_in,pwm0.pwm_break_in,gpio0,6,11,107
pwm0,pwm,in,pwm0_break_in2,pwm0.pwm_break_in2,gpio0,6,12,108
pwm0,pwm,in,pwm0_ext_clk,pwm0.pwm_ext_clk,gpio0,6,13,109
pwm0,pwm,in,pwm0_ext_trg,pwm0.pwm_ext_trg,gpio0,6,14,110
pwm0,pwm,out,pwm0_pwm_out[0],pwm0.pwm_out0,gpio0,6,15,111
pwm0,pwm,out,pwm0_pwm_out[1],pwm0.pwm_out1,gpio0,7,1,113
pwm0,pwm,out,pwm0_pwm_out[2],pwm0.pwm_out2,gpio0,7,2,114
pwm0,pwm,out,pwm0_pwm_out[3],pwm0.pwm_out3,gpio0,7,3,115
pwm0,pwm,out,pwm0_pwm_out_n[0],pwm0.pwm_out_n0,gpio0,7,4,116
pwm0,pwm,out,pwm0_pwm_out_n[1],pwm0.pwm_out_n1,gpio0,7,5,117
pwm0,pwm,out,pwm0_pwm_out_n[2],pwm0.pwm_out_n2,gpio0,7,6,118
pwm1,pwm,in,pwm1_break_in,pwm1.pwm_break_in,gpio0,7,7,119
pwm1,pwm,in,pwm1_break_in2,pwm1.pwm_break_in2,gpio0,7,8,120
pwm1,pwm,in,pwm1_ext_clk,pwm1.pwm_ext_clk,gpio0,7,9,121
pwm1,pwm,in,pwm1_ext_trg,pwm1.pwm_ext_trg,gpio0,7,10,122
pwm1,pwm,out,pwm1_pwm_out[0],pwm1.pwm_out0,gpio0,7,11,123
pwm1,pwm,out,pwm1_pwm_out[1],pwm1.pwm_out1,gpio0,7,12,124
pwm1,pwm,out,pwm1_pwm_out[2],pwm1.pwm_out2,gpio0,7,13,125
pwm1,pwm,out,pwm1_pwm_out[3],pwm1.pwm_out3,gpio0,7,14,126
pwm1,pwm,out,pwm1_pwm_out_n[0],pwm1.pwm_out_n0,gpio0,7,15,127
pwm1,pwm,out,pwm1_pwm_out_n[1],pwm1.pwm_out_n1,gpio0,8,1,129
pwm1,pwm,out,pwm1_pwm_out_n[2],pwm1.pwm_out_n2,gpio0,8,2,130
wwdt0,wwdt,out,wwdt0_wdt_reset,wwdt0.wwdt_reset,gpio0,8,3,131
rtc0,rtc,in,rtc0_tamp1_i,rtc0.rtc_tamp1_i,gpio0,8,4,132
rtc0,rtc,in,rtc0_tamp2_i,rtc0.rtc_tamp2_i,gpio0,8,5,133
rtc0,rtc,in,rtc0_ts_i,rtc0.rtc_ts_i,gpio0,8,6,134
rtc0,rtc,out,rtc0_wkup_o,rtc0.rtc_wkup_o,gpio0,8,7,135
rtc0,rtc,out,rtc0_alarm_o,rtc0.rtc_alarm_o,gpio0,8,8,136
rtc0,rtc,out,rtc0_calib_o,rtc0.rtc_calib_o,gpio0,8,9,137
